TIME = 2019-04-07T19:01:23.000Z	 LON = -77.063846667	 LAT = 38.850445	 ALT = 89.8	 SPEED = 7.8G (raw) -0.37,-0.37,0.90
TIME = 2019-04-07T19:01:24.000Z	 LON = -77.063793333	 LAT = 38.850383333	 ALT = 89.0	 SPEED = 8.5G (raw) -0.42,-0.36,0.97
TIME = 2019-04-07T19:01:25.000Z	 LON = -77.063738333	 LAT = 38.850318333	 ALT = 88.4	 SPEED = 8.8G (raw) -0.26,-0.44,1.01
TIME = 2019-04-07T19:01:26.000Z	 LON = -77.06368	 LAT = 38.850255	 ALT = 87.9	 SPEED = 8.6G (raw) -0.37,-0.39,0.76
TIME = 2019-04-07T19:01:27.000Z	 LON = -77.063628333	 LAT = 38.85019	 ALT = 87.5	 SPEED = 8.7G (raw) -0.34,-0.25,0.75
TIME = 2019-04-07T19:01:28.000Z	 LON = -77.063571667	 LAT = 38.850123333	 ALT = 87.0	 SPEED = 9.1G (raw) -0.28,-0.34,0.63
TIME = 2019-04-07T19:01:29.000Z	 LON = -77.06351	 LAT = 38.850056667	 ALT = 86.6	 SPEED = 9.0G (raw) -0.31,-0.31,0.92
TIME = 2019-04-07T19:01:30.000Z	 LON = -77.063443333	 LAT = 38.849996667	 ALT = 86.1	 SPEED = 8.5G (raw) -0.25,-0.43,0.76
TIME = 2019-04-07T19:01:31.000Z	 LON = -77.063376667	 LAT = 38.849938333	 ALT = 85.7	 SPEED = 8.2G (raw) -0.28,-0.38,0.75
TIME = 2019-04-07T19:01:32.000Z	 LON = -77.06331	 LAT = 38.84988	 ALT = 85.4	 SPEED = 8.5G (raw) -0.33,-0.37,0.97
TIME = 2019-04-07T19:01:33.000Z	 LON = -77.06324	 LAT = 38.849825	 ALT = 85.1	 SPEED = 8.6G (raw) -0.18,-0.23,0.74
TIME = 2019-04-07T19:01:34.000Z	 LON = -77.063168333	 LAT = 38.849765	 ALT = 84.9	 SPEED = 8.7G (raw) -0.27,-0.30,0.87
TIME = 2019-04-07T19:01:35.000Z	 LON = -77.063096667	 LAT = 38.849711667	 ALT = 84.6	 SPEED = 8.5G (raw) -0.29,-0.39,1.09
TIME = 2019-04-07T19:01:36.000Z	 LON = -77.063025	 LAT = 38.84966	 ALT = 84.3	 SPEED = 8.3G (raw) -0.27,-0.42,0.99
TIME = 2019-04-07T19:01:37.000Z	 LON = -77.062955	 LAT = 38.849611667	 ALT = 83.9	 SPEED = 8.1G (raw) -0.24,-0.23,0.77
TIME = 2019-04-07T19:01:38.000Z	 LON = -77.062885	 LAT = 38.849566667	 ALT = 83.6	 SPEED = 7.9G (raw) -0.23,-0.40,0.98
TIME = 2019-04-07T19:01:39.000Z	 LON = -77.062815	 LAT = 38.849521667	 ALT = 83.3	 SPEED = 7.8G (raw) -0.25,-0.34,0.97
TIME = 2019-04-07T19:01:40.000Z	 LON = -77.062746667	 LAT = 38.849483333	 ALT = 83.1	 SPEED = 7.2G (raw) -0.21,-0.40,0.83
TIME = 2019-04-07T19:01:41.000Z	 LON = -77.062676667	 LAT = 38.849443333	 ALT = 82.8	 SPEED = 7.2G (raw) -0.26,-0.32,0.76
TIME = 2019-04-07T19:01:42.000Z	 LON = -77.062611667	 LAT = 38.849406667	 ALT = 82.4	 SPEED = 6.9G (raw) -0.28,-0.41,0.78
TIME = 2019-04-07T19:01:43.000Z	 LON = -77.062536667	 LAT = 38.849378333	 ALT = 81.8	 SPEED = 7.1G (raw) -0.19,-0.44,0.72
TIME = 2019-04-07T19:01:44.000Z	 LON = -77.062456667	 LAT = 38.849365	 ALT = 81.1	 SPEED = 7.0G (raw) -0.13,-0.27,0.59
TIME = 2019-04-07T19:01:45.000Z	 LON = -77.062376667	 LAT = 38.849358333	 ALT = 80.4	 SPEED = 7.3G (raw) -0.25,-0.33,0.88
TIME = 2019-04-07T19:01:46.000Z	 LON = -77.062285	 LAT = 38.84936	 ALT = 79.6	 SPEED = 7.2G (raw) -0.21,-0.34,0.91
TIME = 2019-04-07T19:01:47.000Z	 LON = -77.062175	 LAT = 38.84936	 ALT = 78.2	 SPEED = 7.6G (raw) -0.27,-0.30,0.84
TIME = 2019-04-07T19:01:48.000Z	 LON = -77.06208	 LAT = 38.84936	 ALT = 77.2	 SPEED = 7.6G (raw) -0.22,-0.39,0.95
TIME = 2019-04-07T19:01:49.000Z	 LON = -77.061983333	 LAT = 38.849356667	 ALT = 76.2	 SPEED = 7.6G (raw) -0.25,-0.35,0.87
TIME = 2019-04-07T19:01:50.000Z	 LON = -77.061891667	 LAT = 38.849355	 ALT = 75.1	 SPEED = 7.8G (raw) -0.34,-0.22,0.80
TIME = 2019-04-07T19:01:51.000Z	 LON = -77.061798333	 LAT = 38.849355	 ALT = 74.0	 SPEED = 7.9G (raw) -0.35,-0.15,0.73
TIME = 2019-04-07T19:01:52.000Z	 LON = -77.061705	 LAT = 38.849348333	 ALT = 72.9	 SPEED = 8.1G (raw) -0.29,-0.24,1.02
TIME = 2019-04-07T19:01:53.000Z	 LON = -77.061615	 LAT = 38.84934	 ALT = 71.8	 SPEED = 8.1G (raw) -0.35,-0.19,0.93
TIME = 2019-04-07T19:01:54.000Z	 LON = -77.061523333	 LAT = 38.849318333	 ALT = 71.1	 SPEED = 8.5G (raw) -0.27,-0.28,1.03
TIME = 2019-04-07T19:01:55.000Z	 LON = -77.06143	 LAT = 38.849288333	 ALT = 70.3	 SPEED = 8.9G (raw) -0.29,-0.36,0.95
TIME = 2019-04-07T19:01:56.000Z	 LON = -77.061341667	 LAT = 38.849253333	 ALT = 69.7	 SPEED = 8.8G (raw) -0.27,-0.22,0.77
TIME = 2019-04-07T19:01:57.000Z	 LON = -77.061253333	 LAT = 38.849213333	 ALT = 69.1	 SPEED = 8.9G (raw) -0.25,-0.32,0.92
TIME = 2019-04-07T19:01:58.000Z	 LON = -77.061168333	 LAT = 38.849166667	 ALT = 68.3	 SPEED = 9.1G (raw) -0.33,-0.40,0.98
TIME = 2019-04-07T19:01:59.000Z	 LON = -77.061085	 LAT = 38.849121667	 ALT = 67.6	 SPEED = 8.9G (raw) -0.30,-0.29,0.92
TIME = 2019-04-07T19:02:00.000Z	 LON = -77.061001667	 LAT = 38.849076667	 ALT = 67.0	 SPEED = 8.9G (raw) -0.27,-0.37,1.00
TIME = 2019-04-07T19:02:01.000Z	 LON = -77.060916667	 LAT = 38.84903	 ALT = 66.3	 SPEED = 8.9G (raw) -0.28,-0.34,0.87
TIME = 2019-04-07T19:02:02.000Z	 LON = -77.060836667	 LAT = 38.848985	 ALT = 65.6	 SPEED = 8.6G (raw) -0.27,-0.38,0.93
TIME = 2019-04-07T19:02:03.000Z	 LON = -77.060758333	 LAT = 38.848943333	 ALT = 64.9	 SPEED = 8.5G (raw) -0.28,-0.25,0.90
TIME = 2019-04-07T19:02:04.000Z	 LON = -77.060685	 LAT = 38.848903333	 ALT = 64.3	 SPEED = 8.3G (raw) -0.30,-0.30,0.92
TIME = 2019-04-07T19:02:05.000Z	 LON = -77.060606667	 LAT = 38.848856667	 ALT = 63.7	 SPEED = 8.4G (raw) -0.30,-0.23,0.79
TIME = 2019-04-07T19:02:06.000Z	 LON = -77.060525	 LAT = 38.848808333	 ALT = 63.2	 SPEED = 8.7G (raw) -0.28,-0.30,0.94
TIME = 2019-04-07T19:02:07.000Z	 LON = -77.060446667	 LAT = 38.848756667	 ALT = 62.8	 SPEED = 8.7G (raw) -0.32,-0.22,0.83
TIME = 2019-04-07T19:02:08.000Z	 LON = -77.060365	 LAT = 38.848706667	 ALT = 62.4	 SPEED = 8.9G (raw) -0.29,-0.22,0.70
TIME = 2019-04-07T19:02:09.000Z	 LON = -77.060276667	 LAT = 38.84865	 ALT = 62.0	 SPEED = 9.2G (raw) -0.27,-0.23,0.77
TIME = 2019-04-07T19:02:10.000Z	 LON = -77.060188333	 LAT = 38.848593333	 ALT = 61.5	 SPEED = 9.0G (raw) -0.27,-0.15,0.70
TIME = 2019-04-07T19:02:11.000Z	 LON = -77.06011	 LAT = 38.848535	 ALT = 61.1	 SPEED = 8.8G (raw) -0.22,-0.19,0.78
TIME = 2019-04-07T19:02:12.000Z	 LON = -77.060033333	 LAT = 38.848471667	 ALT = 60.7	 SPEED = 8.8G (raw) -0.24,-0.23,0.84
TIME = 2019-04-07T19:02:13.000Z	 LON = -77.059965	 LAT = 38.84841	 ALT = 60.3	 SPEED = 8.4G (raw) -0.38,-0.50,1.14
TIME = 2019-04-07T19:02:14.000Z	 LON = -77.059908333	 LAT = 38.84835	 ALT = 59.8	 SPEED = 8.4G (raw) -0.25,-0.31,0.87
TIME = 2019-04-07T19:02:15.000Z	 LON = -77.059853333	 LAT = 38.84829	 ALT = 59.4	 SPEED = 8.2G (raw) -0.25,-0.48,0.95
TIME = 2019-04-07T19:02:16.000Z	 LON = -77.059796667	 LAT = 38.84823	 ALT = 59.0	 SPEED = 8.0G (raw) -0.24,-0.39,0.77
TIME = 2019-04-07T19:02:17.000Z	 LON = -77.05971	 LAT = 38.848173333	 ALT = 58.5	 SPEED = 8.4G (raw) -0.23,-0.31,0.71
TIME = 2019-04-07T19:02:18.000Z	 LON = -77.059646667	 LAT = 38.848121667	 ALT = 58.0	 SPEED = 8.2G (raw) -0.25,-0.34,0.87
TIME = 2019-04-07T19:02:19.000Z	 LON = -77.05958	 LAT = 38.848078333	 ALT = 57.5	 SPEED = 8.2G (raw) -0.33,-0.25,0.90
TIME = 2019-04-07T19:02:20.000Z	 LON = -77.059506667	 LAT = 38.848036667	 ALT = 57.1	 SPEED = 7.9G (raw) -0.25,-0.39,0.88
TIME = 2019-04-07T19:02:21.000Z	 LON = -77.059428333	 LAT = 38.847998333	 ALT = 56.6	 SPEED = 8.0G (raw) -0.27,-0.27,0.77
TIME = 2019-04-07T19:02:22.000Z	 LON = -77.059351667	 LAT = 38.847958333	 ALT = 56.2	 SPEED = 8.2G (raw) -0.20,-0.34,1.06
TIME = 2019-04-07T19:02:23.000Z	 LON = -77.059275	 LAT = 38.847916667	 ALT = 55.7	 SPEED = 8.2G (raw) -0.28,-0.23,1.09
TIME = 2019-04-07T19:02:24.000Z	 LON = -77.059195	 LAT = 38.847865	 ALT = 55.3	 SPEED = 8.6G (raw) -0.31,-0.21,0.95
TIME = 2019-04-07T19:02:25.000Z	 LON = -77.05913	 LAT = 38.847806667	 ALT = 54.8	 SPEED = 8.5G (raw) -0.26,-0.43,1.02
TIME = 2019-04-07T19:02:26.000Z	 LON = -77.059065	 LAT = 38.847748333	 ALT = 54.5	 SPEED = 8.6G (raw) -0.23,-0.34,0.82
TIME = 2019-04-07T19:02:27.000Z	 LON = -77.059	 LAT = 38.847688333	 ALT = 54.0	 SPEED = 8.7G (raw) -0.17,-0.47,0.94
TIME = 2019-04-07T19:02:28.000Z	 LON = -77.058941667	 LAT = 38.84762	 ALT = 53.7	 SPEED = 8.6G (raw) -0.21,-0.49,0.82
TIME = 2019-04-07T19:02:29.000Z	 LON = -77.058878333	 LAT = 38.847551667	 ALT = 53.3	 SPEED = 9.0G (raw) -0.16,-0.59,1.01
TIME = 2019-04-07T19:02:30.000Z	 LON = -77.058815	 LAT = 38.847506667	 ALT = 53.0	 SPEED = 8.4G (raw) -0.20,-0.53,0.95
TIME = 2019-04-07T19:02:31.000Z	 LON = -77.058748333	 LAT = 38.84748	 ALT = 52.4	 SPEED = 8.7G (raw) -0.12,-0.63,0.98
TIME = 2019-04-07T19:02:32.000Z	 LON = -77.058661667	 LAT = 38.847461667	 ALT = 52.0	 SPEED = 8.7G (raw) -0.20,-0.53,1.07
TIME = 2019-04-07T19:02:33.000Z	 LON = -77.058551667	 LAT = 38.847465	 ALT = 51.7	 SPEED = 8.6G (raw) -0.27,-0.31,0.88
TIME = 2019-04-07T19:02:34.000Z	 LON = -77.05845	 LAT = 38.847473333	 ALT = 51.1	 SPEED = 9.2G (raw) -0.22,-0.21,0.73
TIME = 2019-04-07T19:02:35.000Z	 LON = -77.058338333	 LAT = 38.847486667	 ALT = 50.6	 SPEED = 9.4G (raw) -0.15,-0.28,0.86
TIME = 2019-04-07T19:02:36.000Z	 LON = -77.058231667	 LAT = 38.847501667	 ALT = 49.9	 SPEED = 9.4G (raw) -0.29,-0.22,0.85
TIME = 2019-04-07T19:02:37.000Z	 LON = -77.058115	 LAT = 38.847513333	 ALT = 49.0	 SPEED = 9.2G (raw) -0.17,-0.32,1.06
TIME = 2019-04-07T19:02:38.000Z	 LON = -77.058	 LAT = 38.847523333	 ALT = 48.2	 SPEED = 8.7G (raw) -0.28,-0.24,0.95
TIME = 2019-04-07T19:02:39.000Z	 LON = -77.057888333	 LAT = 38.847531667	 ALT = 47.1	 SPEED = 8.8G (raw) -0.18,-0.28,0.88
TIME = 2019-04-07T19:02:40.000Z	 LON = -77.05778	 LAT = 38.847541667	 ALT = 45.8	 SPEED = 8.8G (raw) -0.22,-0.31,1.01
TIME = 2019-04-07T19:02:41.000Z	 LON = -77.057676667	 LAT = 38.847551667	 ALT = 44.7	 SPEED = 8.8G (raw) -0.19,-0.37,1.02
TIME = 2019-04-07T19:02:42.000Z	 LON = -77.05757	 LAT = 38.84756	 ALT = 43.4	 SPEED = 9.1G (raw) -0.27,-0.34,0.91
TIME = 2019-04-07T19:02:43.000Z	 LON = -77.05746	 LAT = 38.847566667	 ALT = 42.3	 SPEED = 9.3G (raw) -0.26,-0.39,1.19
TIME = 2019-04-07T19:02:44.000Z	 LON = -77.057348333	 LAT = 38.847575	 ALT = 41.1	 SPEED = 9.5G (raw) -0.15,-0.17,0.70
TIME = 2019-04-07T19:02:45.000Z	 LON = -77.057236667	 LAT = 38.847583333	 ALT = 39.7	 SPEED = 9.9G (raw) -0.19,-0.10,0.83
TIME = 2019-04-07T19:02:46.000Z	 LON = -77.057118333	 LAT = 38.847595	 ALT = 38.1	 SPEED = 10.3G (raw) -0.18,-0.28,0.87
TIME = 2019-04-07T19:02:47.000Z	 LON = -77.057001667	 LAT = 38.847606667	 ALT = 36.5	 SPEED = 10.7G (raw) -0.17,-0.20,0.77
TIME = 2019-04-07T19:02:48.000Z	 LON = -77.056881667	 LAT = 38.847618333	 ALT = 35.2	 SPEED = 10.4G (raw) -0.06,-0.22,0.97
TIME = 2019-04-07T19:02:49.000Z	 LON = -77.056765	 LAT = 38.84763	 ALT = 34.1	 SPEED = 10.4G (raw) -0.20,-0.36,0.94
TIME = 2019-04-07T19:02:50.000Z	 LON = -77.056651667	 LAT = 38.847641667	 ALT = 32.8	 SPEED = 10.1G (raw) -0.04,-0.24,0.77
TIME = 2019-04-07T19:02:51.000Z	 LON = -77.056536667	 LAT = 38.847653333	 ALT = 31.3	 SPEED = 9.8G (raw) -0.07,-0.22,0.95
TIME = 2019-04-07T19:02:52.000Z	 LON = -77.056433333	 LAT = 38.847661667	 ALT = 29.9	 SPEED = 8.9G (raw) -0.02,-0.13,0.84
TIME = 2019-04-07T19:02:53.000Z	 LON = -77.056341667	 LAT = 38.84767	 ALT = 28.7	 SPEED = 7.9G (raw) 0.02,-0.26,0.94
TIME = 2019-04-07T19:02:54.000Z	 LON = -77.056263333	 LAT = 38.847673333	 ALT = 27.8	 SPEED = 6.6G (raw) -0.06,-0.25,0.80
TIME = 2019-04-07T19:02:55.000Z	 LON = -77.0562	 LAT = 38.847673333	 ALT = 26.9	 SPEED = 5.5G (raw) -0.08,-0.26,0.99
TIME = 2019-04-07T19:02:56.000Z	 LON = -77.056151667	 LAT = 38.847668333	 ALT = 26.2	 SPEED = 4.4G (raw) -0.11,-0.22,0.93
TIME = 2019-04-07T19:02:57.000Z	 LON = -77.056115	 LAT = 38.847665	 ALT = 26.0	 SPEED = 3.4G (raw) -0.23,-0.29,0.88
TIME = 2019-04-07T19:02:58.000Z	 LON = -77.056093333	 LAT = 38.847665	 ALT = 25.4	 SPEED = 2.4G (raw) -0.23,-0.36,0.83
TIME = 2019-04-07T19:02:59.000Z	 LON = -77.05607	 LAT = 38.84767	 ALT = 24.7	 SPEED = 2.7G (raw) -0.15,-0.53,0.88
TIME = 2019-04-07T19:03:00.000Z	 LON = -77.05606	 LAT = 38.84769	 ALT = 23.4	 SPEED = 3.5G (raw) -0.16,-0.52,0.92
TIME = 2019-04-07T19:03:01.000Z	 LON = -77.056043333	 LAT = 38.847731667	 ALT = 22.6	 SPEED = 4.3G (raw) -0.19,-0.51,0.81
TIME = 2019-04-07T19:03:02.000Z	 LON = -77.056016667	 LAT = 38.847771667	 ALT = 22.0	 SPEED = 4.8G (raw) -0.14,-0.45,0.88
TIME = 2019-04-07T19:03:03.000Z	 LON = -77.056006667	 LAT = 38.847815	 ALT = 21.1	 SPEED = 4.9G (raw) -0.23,-0.47,0.85
TIME = 2019-04-07T19:03:04.000Z	 LON = -77.056035	 LAT = 38.847868333	 ALT = 19.7	 SPEED = 5.5G (raw) -0.19,-0.40,0.93
TIME = 2019-04-07T19:03:05.000Z	 LON = -77.056053333	 LAT = 38.847921667	 ALT = 18.8	 SPEED = 5.8G (raw) -0.25,-0.26,0.74
TIME = 2019-04-07T19:03:06.000Z	 LON = -77.056066667	 LAT = 38.847978333	 ALT = 18.0	 SPEED = 5.9G (raw) -0.28,-0.25,0.79
TIME = 2019-04-07T19:03:07.000Z	 LON = -77.05608	 LAT = 38.848035	 ALT = 17.2	 SPEED = 5.9G (raw) -0.17,-0.22,0.78
TIME = 2019-04-07T19:03:08.000Z	 LON = -77.056093333	 LAT = 38.848095	 ALT = 16.5	 SPEED = 6.4G (raw) -0.17,-0.32,0.91
TIME = 2019-04-07T19:03:09.000Z	 LON = -77.0561	 LAT = 38.848156667	 ALT = 15.9	 SPEED = 6.6G (raw) -0.24,-0.30,0.95
TIME = 2019-04-07T19:03:10.000Z	 LON = -77.056101667	 LAT = 38.848223333	 ALT = 14.9	 SPEED = 7.0G (raw) -0.26,-0.26,0.80
TIME = 2019-04-07T19:03:11.000Z	 LON = -77.056103333	 LAT = 38.848286667	 ALT = 14.0	 SPEED = 6.8G (raw) -0.21,-0.26,0.92
TIME = 2019-04-07T19:03:12.000Z	 LON = -77.05611	 LAT = 38.848361667	 ALT = 13.2	 SPEED = 6.8G (raw) -0.17,-0.38,1.03
TIME = 2019-04-07T19:03:13.000Z	 LON = -77.05611	 LAT = 38.848426667	 ALT = 12.3	 SPEED = 6.9G (raw) -0.15,-0.28,0.96
TIME = 2019-04-07T19:03:14.000Z	 LON = -77.056106667	 LAT = 38.848491667	 ALT = 11.3	 SPEED = 7.0G (raw) -0.21,-0.22,0.86
TIME = 2019-04-07T19:03:15.000Z	 LON = -77.056101667	 LAT = 38.84856	 ALT = 10.5	 SPEED = 6.9G (raw) -0.17,-0.31,0.96
TIME = 2019-04-07T19:03:16.000Z	 LON = -77.056098333	 LAT = 38.848633333	 ALT = 9.7	 SPEED = 7.1G (raw) -0.16,-0.25,0.81
TIME = 2019-04-07T19:03:17.000Z	 LON = -77.05609	 LAT = 38.848703333	 ALT = 9.0	 SPEED = 7.2G (raw) -0.13,-0.40,0.93
TIME = 2019-04-07T19:03:18.000Z	 LON = -77.056081667	 LAT = 38.84877	 ALT = 8.5	 SPEED = 7.2G (raw) -0.16,-0.27,0.72
TIME = 2019-04-07T19:03:19.000Z	 LON = -77.056078333	 LAT = 38.848831667	 ALT = 8.2	 SPEED = 7.0G (raw) -0.21,-0.38,0.90
TIME = 2019-04-07T19:03:20.000Z	 LON = -77.056091667	 LAT = 38.848891667	 ALT = 7.8	 SPEED = 6.9G (raw) -0.19,-0.32,0.93
TIME = 2019-04-07T19:03:21.000Z	 LON = -77.056106667	 LAT = 38.848956667	 ALT = 7.3	 SPEED = 7.0G (raw) -0.19,-0.36,0.77
TIME = 2019-04-07T19:03:22.000Z	 LON = -77.05612	 LAT = 38.849023333	 ALT = 7.1	 SPEED = 7.4G (raw) -0.17,-0.38,1.05
TIME = 2019-04-07T19:03:23.000Z	 LON = -77.05614	 LAT = 38.849091667	 ALT = 6.8	 SPEED = 7.6G (raw) -0.24,-0.36,0.74
TIME = 2019-04-07T19:03:24.000Z	 LON = -77.05617	 LAT = 38.849161667	 ALT = 6.2	 SPEED = 7.7G (raw) -0.17,-0.59,1.12
TIME = 2019-04-07T19:03:25.000Z	 LON = -77.056206667	 LAT = 38.849235	 ALT = 5.7	 SPEED = 8.1G (raw) -0.23,-0.46,0.75
TIME = 2019-04-07T19:03:26.000Z	 LON = -77.056255	 LAT = 38.8493	 ALT = 5.0	 SPEED = 7.9G (raw) -0.29,-0.39,0.92
TIME = 2019-04-07T19:03:27.000Z	 LON = -77.05631	 LAT = 38.849361667	 ALT = 4.4	 SPEED = 7.9G (raw) -0.22,-0.30,0.81
TIME = 2019-04-07T19:03:28.000Z	 LON = -77.05637	 LAT = 38.849418333	 ALT = 3.9	 SPEED = 7.9G (raw) -0.22,-0.27,0.81
TIME = 2019-04-07T19:03:29.000Z	 LON = -77.056436667	 LAT = 38.849478333	 ALT = 3.3	 SPEED = 8.1G (raw) -0.28,-0.29,0.83
TIME = 2019-04-07T19:03:30.000Z	 LON = -77.056501667	 LAT = 38.849536667	 ALT = 2.6	 SPEED = 8.2G (raw) -0.23,-0.39,0.91
TIME = 2019-04-07T19:03:31.000Z	 LON = -77.056565	 LAT = 38.849595	 ALT = 1.8	 SPEED = 8.1G (raw) -0.24,-0.33,0.94
TIME = 2019-04-07T19:03:32.000Z	 LON = -77.05663	 LAT = 38.849655	 ALT = 1.2	 SPEED = 8.0G (raw) -0.24,-0.27,0.77
TIME = 2019-04-07T19:03:33.000Z	 LON = -77.056693333	 LAT = 38.849711667	 ALT = 0.3	 SPEED = 7.6G (raw) -0.43,-0.22,0.70
TIME = 2019-04-07T19:03:34.000Z	 LON = -77.056756667	 LAT = 38.849766667	 ALT = -0.2	 SPEED = 7.6G (raw) -0.32,-0.51,1.20
TIME = 2019-04-07T19:03:35.000Z	 LON = -77.056823333	 LAT = 38.849821667	 ALT = -0.9	 SPEED = 7.7G (raw) -0.28,-0.28,0.85
TIME = 2019-04-07T19:03:36.000Z	 LON = -77.056895	 LAT = 38.84988	 ALT = -1.6	 SPEED = 8.1G (raw) -0.22,-0.27,0.72
TIME = 2019-04-07T19:03:37.000Z	 LON = -77.056965	 LAT = 38.849938333	 ALT = -2.2	 SPEED = 8.3G (raw) -0.21,-0.35,0.83
TIME = 2019-04-07T19:03:38.000Z	 LON = -77.05704	 LAT = 38.849996667	 ALT = -2.8	 SPEED = 8.3G (raw) -0.25,-0.45,1.14
TIME = 2019-04-07T19:03:39.000Z	 LON = -77.057105	 LAT = 38.850051667	 ALT = -3.2	 SPEED = 8.1G (raw) -0.24,-0.34,1.25
TIME = 2019-04-07T19:03:40.000Z	 LON = -77.057171667	 LAT = 38.850106667	 ALT = -3.7	 SPEED = 8.0G (raw) -0.18,-0.37,0.85
TIME = 2019-04-07T19:03:41.000Z	 LON = -77.057238333	 LAT = 38.850161667	 ALT = -4.3	 SPEED = 7.7G (raw) -0.21,-0.30,0.85
TIME = 2019-04-07T19:03:42.000Z	 LON = -77.057305	 LAT = 38.85021	 ALT = -4.8	 SPEED = 7.2G (raw) -0.29,-0.30,0.85
TIME = 2019-04-07T19:03:43.000Z	 LON = -77.05737	 LAT = 38.850261667	 ALT = -5.5	 SPEED = 6.8G (raw) -0.20,-0.14,0.78
TIME = 2019-04-07T19:03:44.000Z	 LON = -77.057436667	 LAT = 38.85031	 ALT = -6.2	 SPEED = 6.3G (raw) -0.13,-0.26,0.87
TIME = 2019-04-07T19:03:45.000Z	 LON = -77.05749	 LAT = 38.85035	 ALT = -7.1	 SPEED = 5.2G (raw) -0.14,-0.31,0.92
TIME = 2019-04-07T19:03:46.000Z	 LON = -77.057533333	 LAT = 38.850383333	 ALT = -7.8	 SPEED = 3.9G (raw) -0.19,-0.38,0.91
TIME = 2019-04-07T19:03:47.000Z	 LON = -77.057571667	 LAT = 38.850406667	 ALT = -8.7	 SPEED = 2.7G (raw) -0.25,-0.34,0.85
TIME = 2019-04-07T19:03:48.000Z	 LON = -77.057593333	 LAT = 38.850423333	 ALT = -9.3	 SPEED = 1.9G (raw) -0.25,-0.31,0.86
TIME = 2019-04-07T19:03:49.000Z	 LON = -77.057548333	 LAT = 38.85042	 ALT = -6.0	 SPEED = 1.0G (raw) -0.22,-0.37,0.86
TIME = 2019-04-07T19:03:50.000Z	 LON = -77.05753	 LAT = 38.850421667	 ALT = -4.5	 SPEED = 0.9G (raw) -0.40,-0.40,0.82
TIME = 2019-04-07T19:03:51.000Z	 LON = -77.057526667	 LAT = 38.850421667	 ALT = -3.8	 SPEED = 1.7G (raw) -0.48,-0.43,0.80
TIME = 2019-04-07T19:03:52.000Z	 LON = -77.05752	 LAT = 38.850438333	 ALT = -3.1	 SPEED = 3.4G (raw) -0.36,-0.38,0.77
TIME = 2019-04-07T19:03:53.000Z	 LON = -77.057538333	 LAT = 38.850466667	 ALT = -2.9	 SPEED = 4.2G (raw) -0.34,-0.43,0.77
TIME = 2019-04-07T19:03:54.000Z	 LON = -77.057581667	 LAT = 38.8505	 ALT = -2.8	 SPEED = 5.2G (raw) -0.22,-0.57,0.82
TIME = 2019-04-07T19:03:55.000Z	 LON = -77.057646667	 LAT = 38.850525	 ALT = -2.8	 SPEED = 6.1G (raw) -0.30,-0.47,0.71
TIME = 2019-04-07T19:03:56.000Z	 LON = -77.057726667	 LAT = 38.850543333	 ALT = -2.1	 SPEED = 6.4G (raw) -0.30,-0.49,0.94
TIME = 2019-04-07T19:03:57.000Z	 LON = -77.057816667	 LAT = 38.850555	 ALT = -1.7	 SPEED = 7.2G (raw) -0.36,-0.28,0.65
TIME = 2019-04-07T19:03:58.000Z	 LON = -77.057923333	 LAT = 38.850558333	 ALT = -1.0	 SPEED = 8.1G (raw) -0.38,-0.38,1.01
TIME = 2019-04-07T19:03:59.000Z	 LON = -77.05804	 LAT = 38.850555	 ALT = -0.4	 SPEED = 9.2G (raw) -0.37,-0.29,0.82
TIME = 2019-04-07T19:04:00.000Z	 LON = -77.05816	 LAT = 38.850551667	 ALT = 0.2	 SPEED = 9.8G (raw) -0.37,-0.30,0.97
TIME = 2019-04-07T19:04:01.000Z	 LON = -77.058278333	 LAT = 38.850551667	 ALT = 0.4	 SPEED = 10.2G (raw) -0.21,-0.46,1.13
TIME = 2019-04-07T19:04:02.000Z	 LON = -77.058406667	 LAT = 38.850553333	 ALT = 0.9	 SPEED = 10.3G (raw) -0.18,-0.30,0.91
TIME = 2019-04-07T19:04:03.000Z	 LON = -77.058528333	 LAT = 38.850551667	 ALT = 1.4	 SPEED = 10.2G (raw) -0.33,-0.42,1.00
TIME = 2019-04-07T19:04:04.000Z	 LON = -77.058646667	 LAT = 38.850548333	 ALT = 1.9	 SPEED = 10.2G (raw) -0.29,-0.39,0.90
TIME = 2019-04-07T19:04:05.000Z	 LON = -77.058766667	 LAT = 38.850545	 ALT = 2.5	 SPEED = 10.3G (raw) -0.27,-0.25,0.71
TIME = 2019-04-07T19:04:06.000Z	 LON = -77.058886667	 LAT = 38.850541667	 ALT = 2.9	 SPEED = 10.2G (raw) -0.28,-0.36,0.88
TIME = 2019-04-07T19:04:07.000Z	 LON = -77.059011667	 LAT = 38.850538333	 ALT = 3.5	 SPEED = 10.2G (raw) -0.23,-0.36,0.82
TIME = 2019-04-07T19:04:08.000Z	 LON = -77.059133333	 LAT = 38.850538333	 ALT = 4.1	 SPEED = 10.1G (raw) -0.17,-0.29,0.75
TIME = 2019-04-07T19:04:09.000Z	 LON = -77.059246667	 LAT = 38.85054	 ALT = 4.6	 SPEED = 9.9G (raw) -0.33,-0.30,0.84
TIME = 2019-04-07T19:04:10.000Z	 LON = -77.059363333	 LAT = 38.85054	 ALT = 5.1	 SPEED = 9.8G (raw) -0.30,-0.57,1.22
