TIME = 2019-04-07T18:59:08.000Z	 LON = -77.064043333	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.0G (raw) -0.31,-0.22,0.88
TIME = 2019-04-07T18:59:09.000Z	 LON = -77.064043333	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.0G (raw) -0.30,-0.22,0.86
TIME = 2019-04-07T18:59:10.000Z	 LON = -77.064041667	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.1G (raw) -0.31,-0.23,0.85
TIME = 2019-04-07T18:59:11.000Z	 LON = -77.06404	 LAT = 38.851368333	 ALT = 115.5	 SPEED = 0.2G (raw) -0.31,-0.23,0.94
TIME = 2019-04-07T18:59:12.000Z	 LON = -77.064038333	 LAT = 38.851368333	 ALT = 115.5	 SPEED = 0.2G (raw) -0.30,-0.25,0.86
TIME = 2019-04-07T18:59:13.000Z	 LON = -77.064035	 LAT = 38.851366667	 ALT = 115.5	 SPEED = 0.3G (raw) -0.32,-0.23,0.87
TIME = 2019-04-07T18:59:14.000Z	 LON = -77.064033333	 LAT = 38.851365	 ALT = 115.5	 SPEED = 0.3G (raw) -0.26,-0.26,0.87
TIME = 2019-04-07T18:59:15.000Z	 LON = -77.06403	 LAT = 38.851365	 ALT = 115.4	 SPEED = 0.3G (raw) -0.32,-0.25,0.91
TIME = 2019-04-07T18:59:16.000Z	 LON = -77.064026667	 LAT = 38.851365	 ALT = 115.4	 SPEED = 0.3G (raw) -0.31,-0.25,0.92
TIME = 2019-04-07T18:59:17.000Z	 LON = -77.064023333	 LAT = 38.851363333	 ALT = 115.4	 SPEED = 0.3G (raw) -0.32,-0.24,0.86
TIME = 2019-04-07T18:59:18.000Z	 LON = -77.06402	 LAT = 38.851363333	 ALT = 115.4	 SPEED = 0.3G (raw) -0.30,-0.24,0.91
TIME = 2019-04-07T18:59:19.000Z	 LON = -77.064016667	 LAT = 38.851363333	 ALT = 115.4	 SPEED = 0.3G (raw) -0.31,-0.24,0.90
TIME = 2019-04-07T18:59:20.000Z	 LON = -77.064013333	 LAT = 38.851361667	 ALT = 115.4	 SPEED = 0.2G (raw) -0.33,-0.24,0.88
TIME = 2019-04-07T18:59:21.000Z	 LON = -77.064011667	 LAT = 38.851361667	 ALT = 115.4	 SPEED = 0.2G (raw) -0.27,-0.26,0.87
TIME = 2019-04-07T18:59:22.000Z	 LON = -77.064008333	 LAT = 38.851361667	 ALT = 115.4	 SPEED = 0.2G (raw) -0.29,-0.24,0.92
TIME = 2019-04-07T18:59:23.000Z	 LON = -77.064006667	 LAT = 38.85136	 ALT = 115.4	 SPEED = 0.2G (raw) -0.28,-0.26,0.90
TIME = 2019-04-07T18:59:24.000Z	 LON = -77.064005	 LAT = 38.85136	 ALT = 115.4	 SPEED = 0.2G (raw) -0.31,-0.21,0.88
TIME = 2019-04-07T18:59:25.000Z	 LON = -77.064003333	 LAT = 38.851358333	 ALT = 115.4	 SPEED = 0.2G (raw) -0.29,-0.27,0.90
TIME = 2019-04-07T18:59:26.000Z	 LON = -77.064001667	 LAT = 38.851356667	 ALT = 115.4	 SPEED = 0.1G (raw) -0.32,-0.22,0.86
TIME = 2019-04-07T18:59:27.000Z	 LON = -77.064001667	 LAT = 38.851356667	 ALT = 115.4	 SPEED = 0.1G (raw) -0.30,-0.22,0.84
TIME = 2019-04-07T18:59:28.000Z	 LON = -77.064001667	 LAT = 38.851355	 ALT = 115.4	 SPEED = 0.1G (raw) -0.32,-0.25,0.88
TIME = 2019-04-07T18:59:29.000Z	 LON = -77.064001667	 LAT = 38.851355	 ALT = 115.4	 SPEED = 0.1G (raw) -0.29,-0.26,0.87
TIME = 2019-04-07T18:59:30.000Z	 LON = -77.064001667	 LAT = 38.851355	 ALT = 115.4	 SPEED = 0.1G (raw) -0.30,-0.24,0.86
TIME = 2019-04-07T18:59:31.000Z	 LON = -77.064001667	 LAT = 38.851353333	 ALT = 115.4	 SPEED = 0.1G (raw) -0.34,-0.22,0.84
TIME = 2019-04-07T18:59:32.000Z	 LON = -77.064001667	 LAT = 38.851353333	 ALT = 115.4	 SPEED = 0.1G (raw) -0.32,-0.25,0.95
TIME = 2019-04-07T18:59:33.000Z	 LON = -77.064001667	 LAT = 38.851351667	 ALT = 115.4	 SPEED = 0.1G (raw) -0.30,-0.27,0.91
TIME = 2019-04-07T18:59:34.000Z	 LON = -77.064001667	 LAT = 38.85135	 ALT = 115.4	 SPEED = 0.1G (raw) -0.27,-0.24,0.85
TIME = 2019-04-07T18:59:35.000Z	 LON = -77.064001667	 LAT = 38.851348333	 ALT = 115.4	 SPEED = 0.1G (raw) -0.32,-0.23,0.84
TIME = 2019-04-07T18:59:36.000Z	 LON = -77.064001667	 LAT = 38.851348333	 ALT = 115.4	 SPEED = 0.1G (raw) -0.30,-0.25,0.85
TIME = 2019-04-07T18:59:37.000Z	 LON = -77.064	 LAT = 38.851346667	 ALT = 115.4	 SPEED = 0.1G (raw) -0.30,-0.25,0.87
TIME = 2019-04-07T18:59:38.000Z	 LON = -77.064	 LAT = 38.851346667	 ALT = 115.4	 SPEED = 0.0G (raw) -0.28,-0.26,0.87
TIME = 2019-04-07T18:59:39.000Z	 LON = -77.064	 LAT = 38.851345	 ALT = 115.4	 SPEED = 0.0G (raw) -0.30,-0.23,0.84
TIME = 2019-04-07T18:59:40.000Z	 LON = -77.064	 LAT = 38.851345	 ALT = 115.3	 SPEED = 0.0G (raw) -0.29,-0.28,0.92
TIME = 2019-04-07T18:59:41.000Z	 LON = -77.064	 LAT = 38.851345	 ALT = 115.3	 SPEED = 0.1G (raw) -0.32,-0.21,0.84
TIME = 2019-04-07T18:59:42.000Z	 LON = -77.064001667	 LAT = 38.851345	 ALT = 115.3	 SPEED = 0.1G (raw) -0.31,-0.27,0.87
TIME = 2019-04-07T18:59:43.000Z	 LON = -77.064001667	 LAT = 38.851343333	 ALT = 115.3	 SPEED = 0.1G (raw) -0.30,-0.27,0.88
TIME = 2019-04-07T18:59:44.000Z	 LON = -77.064003333	 LAT = 38.851343333	 ALT = 115.3	 SPEED = 0.1G (raw) -0.28,-0.28,0.90
TIME = 2019-04-07T18:59:45.000Z	 LON = -77.064003333	 LAT = 38.851341667	 ALT = 115.3	 SPEED = 0.1G (raw) -0.27,-0.29,0.91
TIME = 2019-04-07T18:59:46.000Z	 LON = -77.064005	 LAT = 38.851341667	 ALT = 115.3	 SPEED = 0.1G (raw) -0.30,-0.24,0.84
TIME = 2019-04-07T18:59:47.000Z	 LON = -77.064005	 LAT = 38.851341667	 ALT = 115.3	 SPEED = 0.1G (raw) -0.30,-0.24,0.84
TIME = 2019-04-07T18:59:48.000Z	 LON = -77.064005	 LAT = 38.85134	 ALT = 115.3	 SPEED = 0.1G (raw) -0.31,-0.29,0.95
TIME = 2019-04-07T18:59:49.000Z	 LON = -77.064005	 LAT = 38.851338333	 ALT = 115.3	 SPEED = 0.1G (raw) -0.29,-0.25,0.90
